HKU_HKSLLEX_ID.status,HKU_HKSLLEX_ID.id,HKU_HKSLLEX_ID.entryType,HKU_HKSLLEX_ID.categories,recording.date,recording.remarks,videoFile.name,videoFile.duration,videoFile.fileExtension,videoFile.supplementary,videoFile.nameOSF,videoFile.nameGIF,ASLLEX2.id,ASLLEX2.legacyIdMapping,ASLLEX2.correspondance,translation.EN-GB.primary,translation.EN-GB.disambiguation,translation.EN-GB.secondary,translation.ZH-HK.primary,translation.ZH-HK.disambiguation,translation.ZH-HK.secondary,translation.ZH-Yue.primary,translation.ZH-Yue.secondary,translation.unichar,translation.unprocessed.en-GB,translation.unprocessed.zh-HK,translation.unprocessed.zh-YUE,translation.literal,translation.figurative.en-GB,translation.figurative.zh-HK,translation.figurative.zh-YUE,source,variant.number,variant.notes,lexicalCategory.0,cuhkcslds_HandshapeFont.CodepointNotation,arto.stringNotation,arto.syllableBoundaries,morphemeCount,demonstrator,etymology.unprocessed.en-GB,etymology.unprocessed.zh-YUE,etymology.formal.en-GB,etymology.formal.zh-HK,etymology.formal.zh-YUE,etymology.category,iconicity.rating.deaf.average,iconicity.rating.deaf.count,iconicity.rating.hearing.average,iconicity.rating.hearing.count,lexicalCategory.1,lexicalCategory.2,videoFile.supplementary.0.fileName,videoFile.supplementary.0.type,videoFile.supplementary.0.content.text,videoFile.supplementary.0.content.language,videoFile.supplementary.0.fileExtension,videoFile.supplementary.1.fileName,videoFile.supplementary.1.type,videoFile.supplementary.1.content.text,videoFile.supplementary.1.content.language,videoFile.supplementary.1.fileExtension
live,HKSLLEX-2023-00000334,vocabulary,,2022-12-31,,HKSLLEX-2023-00000334.mp4,,mp4,,HKSLLEX-2023-00000334-Internet.mp4,HKSLLEX-2023-00000334-Internet.webp,internet,internet,1to1,internet,,,互聯網,,,互聯網,,,,,,,,,,ASLLEX2,,,名詞,79;79.62;62,"R,T",1.1,2,cynthia,,,,,,,2.5,10,2.454545455,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000335,vocabulary,,2022-12-31,,HKSLLEX-2023-00000335.mp4,,mp4,,HKSLLEX-2023-00000335-Department.mp4,HKSLLEX-2023-00000335-Department.webp,department,department,1to1,department,,,部門,,,部門,,,Literal translation: borrowed from ASL,,,,,,,ASLLEX2,,,名詞,60;60,R,1,1,cynthia,,,,,,,4.272727273,11,1.703703704,27,,,,,,,,,,,,
live,HKSLLEX-2023-00000336,vocabulary,,2022-12-31,,HKSLLEX-2023-00000336.mp4,,mp4,,HKSLLEX-2023-00000336-Behavior.mp4,HKSLLEX-2023-00000336-Behavior.webp,behavior,behavior,1to1,behavior,,,行為,,,行為,,,"Literal translation: two fists moving in alternate circular motion above the torso; figurative translation (h): one of the moves in dancing, used to refer to movement in general",,,,,,,ASLLEX2,,,名詞,54;54,A,1,1,cynthia,,,,,,,2.888888889,9,2.176470588,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000337,vocabulary,,2022-12-31,,HKSLLEX-2023-00000337.mp4,,mp4,,HKSLLEX-2023-00000337-Measure.mp4,HKSLLEX-2023-00000337-Measure.webp,measure,measure,1to1,measure,,,量度,,,量度,,,"Literal translation: two fists moving in alternate circular motion above the torso; figurative translation (h): one of the moves in dancing, used to refer to movement in general",,,,,,,ASLLEX2,,,動詞,58;120,N,1,1,cynthia,,,,,,,3.888888889,9,3.045454545,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000338,vocabulary,,2022-12-31,,HKSLLEX-2023-00000338.mp4,,mp4,,HKSLLEX-2023-00000338-Tv.mp4,HKSLLEX-2023-00000338-Tv.webp,tv,tv,1to1,tv,,,電視,,,電視,,,Literal translation: many objects overlapping along a horizontal plane in front of the eyes; figurative translation: static (television),,,,,,,ASLLEX2,,,名詞,120;120,N,1,1,cynthia,,,,,,,4.166666667,6,2.47826087,23,,,,,,,,,,,,
live,HKSLLEX-2023-00000339,vocabulary,,2022-12-31,,HKSLLEX-2023-00000339.mp4,,mp4,,HKSLLEX-2023-00000339-Color.mp4,HKSLLEX-2023-00000339-Color.webp,color,color,1to1,color,,,顏色,,,顏色,,,"Literal translation: morpheme HOW MANY at the lips; figurative translation: many color cards, morpheme RED is articulated at the lips, morpheme HOW MANY indicates there is more than one color",,,,,,,ASLLEX2,,,名詞,62;0,N,1,1,cynthia,,,,,,,2.071428571,14,1.526315789,19,,,,,,,,,,,,
live,HKSLLEX-2023-00000340,vocabulary,,2022-12-31,,HKSLLEX-2023-00000340.mp4,,mp4,,HKSLLEX-2023-00000340-Jelly.mp4,HKSLLEX-2023-00000340-Jelly.webp,jelly,jelly,1to1,jelly,,,啫喱,,,啫喱,,,,,,,,,,ASLLEX2,,,名詞,60;60.51;60,"T,A",1.1,2,cynthia,,,,,,,5.5,6,4,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000341,vocabulary,,2022-12-31,,HKSLLEX-2023-00000341.mp4,,mp4,,HKSLLEX-2023-00000341-Punish.mp4,HKSLLEX-2023-00000341-Punish.webp,punish,punish,1to1,punish,,,懲罰,,,懲罰,,,"Literal translation: hand closing into morpheme BAD, pointing at morpheme PERSON; figurative translation: the dominant hand represents authority given the higher position, the non-dominant hand in a relatively lower position represents a person in a subordinate position",,,,,,,ASLLEX2,,,動詞,80;50,R,1,1,cynthia,,,,,,,3.444444444,9,2.045454545,22,名詞,,,,,,,,,,,
live,HKSLLEX-2023-00000342,vocabulary,,2022-12-31,,HKSLLEX-2023-00000342.mp4,,mp4,,HKSLLEX-2023-00000342-Egypt.mp4,HKSLLEX-2023-00000342-Egypt.webp,egypt,egypt,1to1,egypt,,,埃及,,,埃及,,,Literal translation: three points rising from a flat surface coming together at a point; figurative translation: tracing a pyramid,,,,,,,ASLLEX2,,,名詞,86;120,T,1,1,cynthia,,,,,,,2.555555556,9,1.962962963,27,,,,,,,,,,,,
live,HKSLLEX-2023-00000343,vocabulary,,2022-12-31,,HKSLLEX-2023-00000343.mp4,,mp4,,HKSLLEX-2023-00000343-Egypt.mp4,HKSLLEX-2023-00000343-Egypt.webp,egypt,^egypt_2,Mto1_other,egypt,,,埃及,,,埃及,,,Literal translation: a pair of rectangular flat objects placed vertically in front of the ears; figurative translation: the headdress of a sphinx,,,,,,,HKU-HKSLLEX,,,名詞,120;120,T,1,1,cynthia,,,,,,,3,11,1.607142857,28,,,,,,,,,,,,
